,size,method,run,time_seconds,gflops,cpus
84,7500,gpu,4,0.1269289753399789,6647.418351404932,8
85,7500,gpu,5,0.1273692959919571,6624.437965436185,8
86,7500,gpu,6,0.1269465302117169,6646.499109450442,8
87,7500,gpu,7,0.1273259736597538,6626.691913267491,8
88,7500,gpu,8,0.126663262117654,6661.363254771249,8
89,7500,gpu,9,0.1272101644426584,6632.724701651737,8
90,10000,gpu,0,0.3353614757768809,5963.714214242717,8
91,10000,gpu,1,0.249459289945662,8017.340225876719,8
92,10000,gpu,2,0.2491152346134185,8028.413047895828,8
93,10000,gpu,3,0.2498804152011871,8003.828544905101,8
94,10000,gpu,4,0.2490726290270686,8029.786363168169,8
95,10000,gpu,5,0.2492421669885516,8024.324391674325,8
96,10000,gpu,6,0.249835642799735,8005.262890384193,8
97,10000,gpu,7,0.2488453376106917,8037.120643702463,8
98,10000,gpu,8,0.2488213716074824,8037.894763939389,8
99,10000,gpu,9,0.2495137405581772,8015.590626495678,8
0,10,naive,0,0.0009322058409452,0.0021454489042592,8
1,10,naive,1,0.0009323421865701,0.0021451351540333,8
2,10,naive,2,0.0009264010004699,0.0021588923144356,8
3,10,naive,3,0.0009343840181827,0.0021404475687519,8
4,10,naive,4,0.0009281141683459,0.0021549073036611,8
5,10,naive,5,0.0009238181635737,0.0021649282065023,8
6,10,naive,6,0.000932125840336,0.0021456330395034,8
7,10,naive,7,0.0009324563667178,0.0021448724802425,8
8,10,naive,8,0.0009289558045566,0.0021529549524205,8
9,10,naive,9,0.000927741639316,0.0021557725936224,8
10,50,naive,0,0.1134624930098652,0.0022033712936156,8
11,50,naive,1,0.0959619806148111,0.0026051984171053,8
12,50,naive,2,0.0707534035667777,0.003533398923545,8
13,50,naive,3,0.0574154869653284,0.0043542258929366,8
14,50,naive,4,0.0563984121195971,0.0044327489126795,8
15,50,naive,5,0.0565596342086791,0.0044201134518942,8
16,50,naive,6,0.0562392139807343,0.0044452968365745,8
17,50,naive,7,0.0565106184221804,0.0044239473391053,8
18,50,naive,8,0.0564988284371793,0.0044248705135182,8
19,50,naive,9,0.0573588769882917,0.0043585232683518,8
20,100,naive,0,0.4499328258447349,0.0044451079919431,8
